Hallazgo;Fecha identificación
Necesidad de formalizar la prestación de servicios recurrentes prestados por  y las tarifas asociadas. Necesidad de formalizar la prestación de servicios recurrentes prestados por  y las tarifas asociadas.;31/10/2024
Necesidad de establecer controles para identificar y registrar todas las transacciones de partes relacionadas Necesidad de establecer controles para identificar y registrar todas las transacciones de partes relacionadas;30/10/2024
Establecer un control que permita la designación oportuna del administrador del contrato. Establecer un control que permita la designación oportuna del administrador del contrato.;29/10/2024
No es posible asegurar que se realicen capacitaciones periódicas a los administradores de contrato relacionadas a sus roles y responsabilidades asociadas al cargo. No es posible asegurar que se realicen capacitaciones periódicas a los administradores de contrato relacionadas a sus roles y responsabilidades asociadas al cargo.;28/10/2024
Necesidad Formalizar el control de verificación de autenticidad de los formularios F-30, F30- 1. Necesidad Formalizar el control de verificación de autenticidad de los formularios F-30, F30- 1.;27/10/2024
Necesidad de implementar controles sobre las actividades realizadas por el área contable con relación a los procesos de registro de los bienes de propiedades, planta y equipos Necesidad de implementar controles sobre las actividades realizadas por el área contable con relación a los procesos de registro de los bienes de propiedades, planta y equipos;26/10/2024
Necesidad de realizar inventarios periódicos para verificar la existencia y estado de conservación de los bienes muebles. Necesidad de realizar inventarios periódicos para verificar la existencia y estado de conservación de los bienes muebles.;25/10/2024
Necesidad de realizar inventarios periódicos para verificar la existencia y estado de conservación de los bienes muebles. Necesidad de realizar inventarios periódicos para verificar la existencia y estado de conservación de los bienes muebles.;24/10/2024
Necesidad de realizar inventarios periódicos para verificar la existencia y estado de conservación de los bienes muebles. Necesidad de realizar inventarios periódicos para verificar la existencia y estado de conservación de los bienes muebles.;23/10/2024
Necesidad de realizar inventarios periódicos para verificar la existencia y estado de conservación de los bienes muebles. Necesidad de realizar inventarios periódicos para verificar la existencia y estado de conservación de los bienes muebles.;22/10/2024
Necesidad de realizar inventarios periódicos para verificar la existencia y estado de conservación de los bienes muebles. Necesidad de realizar inventarios periódicos para verificar la existencia y estado de conservación de los bienes muebles.;21/10/2024
Necesidad de realizar inventarios periódicos para verificar la existencia y estado de conservación de los bienes muebles. Necesidad de realizar inventarios periódicos para verificar la existencia y estado de conservación de los bienes muebles.;20/10/2024
Necesidad de realizar inventarios periódicos para verificar la existencia y estado de conservación de los bienes muebles. Necesidad de realizar inventarios periódicos para verificar la existencia y estado de conservación de los bienes muebles.;19/10/2024
Necesidad de realizar inventarios periódicos para verificar la existencia y estado de conservación de los bienes muebles. Necesidad de realizar inventarios periódicos para verificar la existencia y estado de conservación de los bienes muebles.;18/10/2024
